cue	response	R1	N	R1.Strength
3	número	18	67	0.26865671641791
3	tres	9	67	0.134328358208955
3	2	4	67	0.0597014925373134
3	tercero	4	67	0.0597014925373134
3	dos	3	67	0.0447761194029851
3	4	2	67	0.0298507462686567
3	cuatro	2	67	0.0298507462686567
3	3	1	67	0.0149253731343284
3	5	1	67	0.0149253731343284
3	bendición	1	67	0.0149253731343284
3	cerditos	1	67	0.0149253731343284
3	comida	1	67	0.0149253731343284
3	compañía	1	67	0.0149253731343284
3	cumpleaños	1	67	0.0149253731343284
3	divino	1	67	0.0149253731343284
3	fecha	1	67	0.0149253731343284
3	hermanos	1	67	0.0149253731343284
3	hijos	1	67	0.0149253731343284
3	impar	1	67	0.0149253731343284
3	María	1	67	0.0149253731343284
3	marias	1	67	0.0149253731343284
3	mes	1	67	0.0149253731343284
3	muchos	1	67	0.0149253731343284
3	numero impar	1	67	0.0149253731343284
3	poco	1	67	0.0149253731343284
3	reloj	1	67	0.0149253731343284
3	son multitud	1	67	0.0149253731343284
3	sueños	1	67	0.0149253731343284
3	triángulo	1	67	0.0149253731343284
3	trío	1	67	0.0149253731343284
3	tristes	1	67	0.0149253731343284
3	trois	1	67	0.0149253731343284
4	número	33	70	0.471428571428571
4	cuatro	5	70	0.0714285714285714
4	5	3	70	0.0428571428571429
4	patas	3	70	0.0428571428571429
4	cinco	2	70	0.0285714285714286
4	four	2	70	0.0285714285714286
4	par	2	70	0.0285714285714286
4	posición	2	70	0.0285714285714286
4	tres	2	70	0.0285714285714286
4	1	1	70	0.0142857142857143
4	10	1	70	0.0142857142857143
4	3	1	70	0.0142857142857143
4	4	1	70	0.0142857142857143
4	8	1	70	0.0142857142857143
4	cuadrado	1	70	0.0142857142857143
4	cuarteto	1	70	0.0142857142857143
4	cuarto	1	70	0.0142857142857143
4	dos	1	70	0.0142857142857143
4	escaso	1	70	0.0142857142857143
4	estaciones	1	70	0.0142857142857143
4	gato	1	70	0.0142857142857143
4	hijos	1	70	0.0142857142857143
4	lv	1	70	0.0142857142857143
4	nota	1	70	0.0142857142857143
4	números	1	70	0.0142857142857143
5	número	32	70	0.457142857142857
5	cinco	8	70	0.114285714285714
5	dedos	4	70	0.0571428571428571
5	años	2	70	0.0285714285714286
5	cuatro	2	70	0.0285714285714286
5	mano	2	70	0.0285714285714286
