cue,response,R123,N,R123.Strength
abbau,kohle,6,131,0.045801526718
abbau,verfall,4,131,0.030534351145
abbau,bergbau,4,131,0.030534351145
abbau,rohstoffe,4,131,0.030534351145
abbau,rohstoff,3,131,0.022900763359
abbau,haus,3,131,0.022900763359
abbau,stellenabbau,3,131,0.022900763359
abbau,reduktion,3,131,0.022900763359
abbau,zerfall,2,131,0.015267175573
abbau,alter,2,131,0.015267175573
abbau,ende,2,131,0.015267175573
abbau,zelt,2,131,0.015267175573
abbau,umwelt,2,131,0.015267175573
abbau,weniger,2,131,0.015267175573
abbau,stoffwechsel,2,131,0.015267175573
abbau,umzug,2,131,0.015267175573
abbau,getreide,2,131,0.015267175573
abbau,traurig,2,131,0.015267175573
abbau,aufbau,2,131,0.015267175573
abbau,demontage,2,131,0.015267175573
abbau,abbruch,2,131,0.015267175573
abbau,gold,2,131,0.015267175573
abbau,bagger,1,131,0.007633587786
abbau,halde,1,131,0.007633587786
abbau,entropie,1,131,0.007633587786
abbau,kohäsion,1,131,0.007633587786
abbau,granulierung,1,131,0.007633587786
abbau,abtragen/verlieren,1,131,0.007633587786
abbau,minus,1,131,0.007633587786
abbau,müll,1,131,0.007633587786
abbau,respektlosigkeit,1,131,0.007633587786
abbau,stein,1,131,0.007633587786
abbau,mine,1,131,0.007633587786
abbau,degeneration,1,131,0.007633587786
abbau,baustelle,1,131,0.007633587786
abbau,arbeitsstellen,1,131,0.007633587786
abbau,post,1,131,0.007633587786
abbau,handwerk,1,131,0.007633587786
abbau,mental,1,131,0.007633587786
abbau,körperlich,1,131,0.007633587786
abbau,maschinen,1,131,0.007633587786
abbau,tiefe,1,131,0.007633587786
abbau,muskelabbau,1,131,0.007633587786
abbau,bauer,1,131,0.007633587786
abbau,land,1,131,0.007633587786
abbau,kognitiver abbau,1,131,0.007633587786
abbau,etwas beim bau abbauen,1,131,0.007633587786
abbau,sparen,1,131,0.007633587786
abbau,gerüst,1,131,0.007633587786
abbau,erz,1,131,0.007633587786
abbau,stelle,1,131,0.007633587786
abbau,raubbau,1,131,0.007633587786
abbau,arbeitslosigkeit,1,131,0.007633587786
abbau,generieren,1,131,0.007633587786
abbau,verringern,1,131,0.007633587786
abbau,gewinnung,1,131,0.007633587786
abbau,bergwerk,1,131,0.007633587786
abbau,plastik,1,131,0.007633587786
abbau,waffen,1,131,0.007633587786
abbau,fertig,1,131,0.007633587786
abbau,vorüber,1,131,0.007633587786
abbau,entsorgung,1,131,0.007633587786
abbau,arbeiter,1,131,0.007633587786
abbau,fabrik,1,131,0.007633587786
abbau,laut,1,131,0.007633587786
abbau,krach,1,131,0.007633587786
abbau,unrein,1,131,0.007633587786
abbau,häuser abbau,1,131,0.007633587786
abbau,wald abholzung,1,131,0.007633587786
abbau,sinkenden neugeborenen,1,131,0.007633587786
abbau,alzheimer,1,131,0.007633587786
abbau,arthrose,1,131,0.007633587786
abbau,oma,1,131,0.007633587786
abbau,destruktion,1,131,0.007633587786
abbau,negativ,1,131,0.007633587786
abbau,sparé,1,131,0.007633587786
abbau,bürokratie,1,131,0.007633587786
abbau,geistiger,1,131,0.007633587786
abbau,schaufel,1,131,0.007633587786
abbau,entlassung,1,131,0.007633587786
abbau,kürzung,1,131,0.007633587786
abbau,verminderung,1,131,0.007633587786
abbau,leistungsfähigkeit,1,131,0.007633587786
abbau,kaputt,1,131,0.007633587786
abbau,neubau,1,131,0.007633587786
abbau,möbel,1,131,0.007633587786
abbau,einsparung,1,131,0.007633587786
abbau,rückschritt,1,131,0.007633587786
abbau,muskeln im alter,1,131,0.007633587786
abbau,auseinandernehmen,1,131,0.007633587786
abbau,spiel,1,131,0.007633587786
abbau,zelle,1,131,0.007633587786
abbau,stellen,1,131,0.007633587786
abbau,knochen,1,131,0.007633587786
abbau,altern,1,131,0.007633587786
abbild,foto,18,133,0.135338345865
abbild,spiegel,9,133,0.067669172932
abbild,kopie,7,133,0.052631578947
abbild,gemälde,6,133,0.045112781955
abbild,ähnlichkeit,5,133,0.037593984962
abbild,bild,4,133,0.030075187970
abbild,ikone,3,133,0.022556390977
abbild,darstellung,3,133,0.022556390977
